price,square,constructionTime,elevator,district
50941,89.32,2012,1,6
29980,84.39,2012,1,11
39365,138.45,2012,1,4
46552,87,2012,1,11
37314,81.74,2012,1,7
60369,217,2012,1,7
32442,86,2012,1,6
50203,99,2012,1,6
46830,83.28,2012,1,2
64847,130,2012,1,7
56210,85.75,2012,1,7
35477,84,2012,1,6
72187,91.43,2012,1,1
47346,80.05,2012,1,5
37359,53,2012,1,7
81227,87.41,2012,1,7
34711,242,2012,0,13
30946,81.11,2012,1,5
29200,75,2012,1,5
23259,98.89,2012,1,11
29383,81,2012,1,5
52440,82,2012,1,11
23000,40,2012,1,6
60164,61,2012,1,7
40755,53,2012,1,7
44445,153,2012,1,8
58700,66.44,2012,1,7
30745,88.47,2012,1,5
31236,89,2012,1,5
53290,175.64,2012,1,7
33738,61,2012,1,6
26700,50,2012,1,8
24586,85.62,2012,1,5
40690,89.95,2012,1,4
54839,62,2012,1,10
28098,177.95,2012,1,11
35334,60,2012,1,6
58334,48,2012,1,11
23606,87.69,2012,1,5
26867,75,2012,1,5
53847,26,2012,1,2
54847,130,2012,1,2
53750,48,2012,1,7
72432,245.75,2012,1,7
46288,66,2012,1,7
62308,65,2012,1,7
26429,49,2012,1,8
42858,77,2012,1,7
74163,209,2012,1,7
24943,87,2012,1,5
35000,89,2012,1,12
31709,55.19,2012,1,11
50000,30,2012,1,11
46068,89,2012,1,7
27889,90,2012,1,5
33704,135,2012,1,3
43674,49,2012,1,8
50435,92,2012,1,6
44367,71,2012,1,4
28254,88.84,2012,1,2
67608,30.47,2012,1,11
35912,88.83,2012,1,12
33965,89.8,2012,1,4
54173,75.5,2012,1,7
44345,93.81,2012,1,4
48590,181.11,2012,1,4
62137,89.32,2012,1,6
36667,90,2012,1,4
36954,83.89,2012,1,11
47065,89.24,2012,1,9
41574,89,2012,1,7
40574,122,2012,1,4
26705,88,2012,1,5
28766,81,2012,1,5
61745,192.73,2012,1,7
30000,81,2012,1,5
28768,118.19,2012,1,13
68723,180,2012,1,7
53428,99.2,2012,1,6
50000,47,2012,1,4
30507,89.98,2012,1,5
67548,53,2012,1,7
64213,197.78,2012,1,7
57143,98,2012,1,2
32524,94.7,2012,1,8
70189,53,2012,1,7
40113,89,2012,1,7
57143,84,2012,1,7
62621,145,2012,1,7
30618,81,2012,1,5
32248,89,2012,1,5
23612,72,2012,1,8
33414,87.69,2012,1,5
54419,86,2012,1,7
33954,89.83,2012,1,5
39029,88.91,2012,1,12
49181,36.6,2012,1,11
28847,93.6,2012,1,2
46740,92,2012,1,6
29546,132,2012,1,13
26418,67,2012,1,8
48347,241.59,2012,0,13
31607,88.59,2012,1,2
41250,68.85,2012,1,4
29408,135,2012,1,13
37522,135.39,2012,1,13
62638,45.5,2012,1,11
44151,67.95,2012,1,5
79506,89,2012,1,7
50870,92,2012,1,4
98508,134,2012,1,7
41295,89.48,2012,1,4
27986,88.26,2012,1,5
56000,125,2012,1,8
50000,47,2012,1,4
64862,123.34,2012,1,7
61376,71.69,2012,1,10
38459,135.21,2012,1,4
113583,169.04,2012,1,7
64151,53,2012,1,7
66736,68.03,2012,1,1
95565,84.55,2012,1,7
33410,88,2012,1,12
40145,88.43,2012,1,11
56322,50.07,2012,1,7
32099,81,2012,1,5
57206,68.35,2012,1,11
46364,88,2012,1,11
45082,122,2012,1,4
46543,167.59,2012,1,4
30520,77,2012,1,5
31168,77,2012,1,8
30118,85,2012,1,6
50000,94,2012,1,6
53373,86,2012,1,11
70787,89,2012,1,8
42250,40,2012,1,11
31977,86,2012,1,6
38432,89.9,2012,1,7
31135,97,2012,1,5
59821,40.12,2012,1,11
48331,91.04,2012,1,9
27529,89,2012,1,5
35313,135.93,2012,0,3
32856,78.83,2012,1,5
37445,85.46,2012,1,5
25317,79,2012,1,4
23389,89.36,2012,1,5
31821,89.88,2012,1,5
41857,87.92,2012,1,4
34910,55,2012,1,11
33207,81.31,2012,1,7
51040,81.31,2012,1,11
32739,84,2012,1,11
30233,86,2012,1,13
36630,89,2012,1,6
41965,88.17,2012,1,5
35502,92.11,2012,1,12
113621,279,2012,1,7
59723,72,2012,1,10
68667,75,2012,1,7
28594,64,2012,1,6
41206,87.61,2012,1,4
30032,89.24,2012,1,5
57637,110,2012,0,8
70107,66.47,2012,1,7
29136,81,2012,1,5
68404,119,2012,1,7
30755,84.54,2012,1,11
110267,225,2012,1,7
29630,135,2012,1,13
27866,89,2012,1,2
31960,89.02,2012,1,5
59594,96.99,2012,1,7
30247,81,2012,1,5
56383,47,2012,1,4
31846,84,2012,1,11
38637,88,2012,1,12
52466,85.77,2012,1,7
52907,86,2012,1,6
32942,85,2012,1,6
45492,135.41,2012,1,4
45269,93,2012,1,4
54043,47,2012,1,4
49659,70.28,2012,1,8
28548,119.1,2012,1,13
28729,118,2012,1,13
52624,63.28,2012,1,7
63089,39.31,2012,1,7
31086,87.18,2012,1,6
35466,86,2012,1,6
31709,89.88,2012,1,5
57883,47.51,2012,1,11
87419,58.34,2012,1,10
47537,201.53,2012,1,6
33295,85,2012,1,6
48315,89,2012,1,7
49697,75.86,2012,1,7
38315,89,2012,1,6
51922,57.78,2012,1,11
51500,87.38,2012,1,4
35461,88.83,2012,1,5
31602,87.97,2012,1,5
47500,80,2012,1,8
38710,93,2012,1,3
26000,130,2012,1,5
34939,81,2012,1,8
36993,140.03,2012,1,4
36912,68,2012,1,2
44872,117,2012,1,4
42404,63.32,2012,1,7
31303,88.81,2012,1,5
25058,87.4,2012,1,5
56897,87,2012,1,7
29871,89.72,2012,1,5
58033,122,2012,1,7
74526,88.56,2012,1,7
40834,90,2012,1,4
40000,90,2012,1,6
45625,80,2012,1,2
43696,92,2012,1,11
31605,81,2012,1,5
31012,89,2012,1,2
31397,81.06,2012,1,5
43596,89,2012,1,7
43143,70,2012,1,4
63306,121,2012,1,8
29963,93.45,2012,1,2
29482,135,2012,1,13
66031,131,2012,1,7
48981,124.54,2012,1,6
34319,88,2012,1,12
96076,147.8,2012,1,7
29963,93.45,2012,1,2
102101,120.47,2012,1,7
67032,64,2012,1,7
31709,55.19,2012,1,11
45506,89,2012,1,7
66327,64.68,2012,1,7
47231,65,2012,1,4
91422,110.04,2012,1,7
34572,85.33,2012,1,6
17858,84,2012,0,5
59330,91.86,2012,1,4
66906,41.85,2012,1,4
49075,108,2012,1,8
24897,96.4,2012,1,5
65532,47,2012,1,4
29874,79,2012,1,5
41150,87,2012,1,4
38060,134,2012,1,3
51977,86,2012,1,6
38921,92.24,2012,1,4
56286,35,2012,1,11
66667,84,2012,1,7
53118,165.67,2012,1,4
40000,100,2012,1,4
55682,88,2012,1,8
42044,139.38,2012,1,4
67188,96,2012,1,8
46763,139,2012,1,4
29775,131.99,2012,1,13
32681,97,2012,1,13
31124,89,2012,1,5
50000,96,2012,1,9
75133,105.28,2012,1,8
55126,100.68,2012,1,7
49000,50,2012,1,4
40455,88,2012,1,4
51613,93,2012,1,6
47891,87.7,2012,1,7
50808,50.78,2012,1,7
29788,47,2012,1,6
59143,92.15,2012,1,7
39907,85.2,2012,1,4
54380,85.51,2012,1,7
85932,212.96,2012,1,7
26154,39,2012,1,6
57318,82,2012,1,8
70652,95.54,2012,1,8
26991,200.07,2012,1,11
39920,124,2012,1,4
51945,36,2012,1,11
45036,141,2012,1,7
55277,199,2012,1,7
25336,86.44,2012,1,5
25556,116.61,2012,1,5
43591,88,2012,1,7
26023,88,2012,1,5
48979,57.78,2012,1,11
58332,90.86,2012,1,7
33905,84.65,2012,1,6
52526,99,2012,1,6
55489,46.46,2012,1,4
22500,80,2012,1,4
61300,133.77,2012,1,7
59134,86.55,2012,1,7
62366,93,2012,1,6
52055,73,2012,1,4
24529,53,2012,1,6
30335,38.9,2012,1,8
32000,50,2012,1,4
50000,92,2012,1,6
43445,54,2012,1,8
55000,30,2012,1,11
50637,157,2012,1,4
32817,84.56,2012,1,11
96961,138.2,2012,1,7
32120,93.45,2012,1,2
54562,84.4,2012,1,7
35592,93,2012,1,12
28911,80.94,2012,1,5
30618,81,2012,1,5
31323,73.27,2012,1,11
49412,95.12,2012,1,9
47502,69.05,2012,1,7
69838,128.87,2012,1,8
34245,88.19,2012,1,5
21207,87,2012,0,4
28805,46.52,2012,1,6
32044,93,2012,1,11
25371,88.29,2012,1,5
30494,81,2012,1,5
31250,120,2012,1,5
53031,66,2012,1,10
32898,88,2012,1,5
50882,74.29,2012,0,8
26200,96.95,2012,1,5
34047,89.29,2012,1,3
52030,73.42,2012,1,8
40523,68.85,2012,1,4
26352,132.82,2012,1,5
23505,46.8,2012,1,6
44734,60,2012,1,5
31084,88.47,2012,1,5
39687,90.08,2012,1,4
34889,72.23,2012,1,7
66958,158.31,2012,1,7
42667,60,2012,1,7
42563,87.4,2012,1,4
41819,88,2012,1,4
37907,86,2012,1,6
56572,86.97,2012,1,8
33580,88,2012,1,6
66890,209,2012,1,7
43506,80.91,2012,1,5
50737,93.03,2012,1,6
39957,46.05,2012,1,7
53830,47,2012,1,4
32693,78,2012,1,5
42697,89,2012,1,6
73870,174.09,2012,1,7
33627,123,2012,1,6
30424,118,2012,1,13
39983,67.53,2012,1,4
42281,89.64,2012,1,6
30417,36,2012,1,8
59302,207.92,2012,1,7
57334,30,2012,1,11
29872,78,2012,1,5
35747,88.12,2012,1,11
62134,88.68,2012,1,11
32585,89,2012,1,5
30322,81.13,2012,1,5
45393,87.68,2012,1,4
77490,88.27,2012,1,7
30000,115,2012,1,5
43271,87.82,2012,1,4
62112,80.5,2012,1,8
81968,175.68,2012,1,7
72341,94,2012,1,6
30504,89.17,2012,1,5
81638,166.59,2012,1,7
51516,165,2012,1,4
33334,96,2012,1,13
58298,94,2012,1,6
61391,86.17,2012,1,8
30281,89,2012,1,5
33864,72.35,2012,1,6
61796,88.68,2012,1,11
102289,131,2012,1,7
52739,132.35,2012,1,4
70176,57,2012,1,7
37256,139.31,2012,1,12
71926,298.92,2012,1,7
33371,89,2012,1,5
54149,57.25,2012,1,11
45183,137,2012,1,4
46267,91.86,2012,1,4
52041,98,2012,1,6
25910,88,2012,1,5
45114,88,2012,1,7
98750,48,2012,1,7
53371,89,2012,1,9
37009,90.52,2012,1,6
38928,92.48,2012,1,4
41806,72,2012,1,6
69354,78.15,2012,1,8
89048,105,2012,1,7
32360,89,2012,1,5
57447,47,2012,1,4
30865,81,2012,1,8
53226,93,2012,1,7
32747,44.28,2012,1,6
42360,89,2012,1,6
43840,125,2012,1,4
90006,58.33,2012,1,10
56117,49.54,2012,1,4
54098,62.85,2012,1,7
33080,91.9,2012,1,13
69149,47,2012,1,4
45637,134.76,2012,1,7
36207,58,2012,1,2
51461,89,2012,1,9
40341,88,2012,1,4
36624,135.16,2012,1,3
29877,81,2012,1,5
35823,79,2012,1,5
64538,119,2012,1,7
33995,88.25,2012,1,6
104915,144.88,2012,1,7
60542,89.36,2012,1,9
45139,144,2012,1,4
48757,119.81,2012,1,7
52983,93.05,2012,1,6
46091,119.33,2012,1,4
25956,89,2012,1,5
39530,85,2012,1,6
42472,89,2012,1,5
26057,71,2012,1,8
45055,92.11,2012,1,4
44192,87.12,2012,1,4
34091,88,2012,1,5
57289,59,2012,1,4
65379,119,2012,1,7
55950,80.43,2012,1,5
34030,88.16,2012,1,5
61986,136,2012,1,7
31461,89,2012,1,5
18479,83.34,2012,0,5
34045,89,2012,1,5
35559,112.21,2012,1,6
28492,75.46,2012,1,5
33467,75,2012,1,6
64213,85.03,2012,1,7
32729,78.83,2012,1,5
50257,117,2012,1,9
52853,88.17,2012,1,9
63794,58,2012,1,11
54839,62,2012,1,10
31158,81.2,2012,1,5
63015,42.53,2012,1,4
60213,47,2012,1,4
107408,135,2012,1,7
32135,89,2012,1,5
94167,72,2012,1,7
33724,94,2012,1,2
28507,75,2012,1,5
35515,89.26,2012,1,5
77284,89.54,2012,1,7
51334,30,2012,1,11
42028,88.87,2012,1,7
63089,136,2012,1,7
54529,94.08,2012,1,8
48216,142.07,2012,1,7
52483,30.01,2012,1,11
30289,81.88,2012,1,5
57447,47,2012,1,4
38080,88.5,2012,1,5
27100,131,2012,1,5
55677,59.81,2012,1,4
41130,124,2012,1,4
60117,86,2012,1,7
51845,40.12,2012,1,11
70213,47,2012,1,4
43347,88.82,2012,1,4
35000,60,2012,1,6
39980,58.78,2012,1,2
28669,85.46,2012,1,5
43997,73.87,2012,1,8
81495,87,2012,1,7
45412,85,2012,1,6
54197,66.24,2012,1,11
36839,85.4,2012,1,6
33721,86,2012,1,13
48146,117.56,2012,1,4
65169,70.51,2012,1,8
33367,89.91,2012,1,2
63010,98.08,2012,1,7
40912,90.44,2012,1,4
33671,89.1,2012,1,5
40110,91,2012,1,6
39184,90.6,2012,1,4
62312,142.51,2012,1,8
38297,135,2012,1,3
30494,81,2012,1,5
65488,106.89,2012,0,8
53847,65,2012,1,4
56320,53.8,2012,1,4
34091,88,2012,1,5
35000,90,2012,1,5
59584,49.51,2012,1,7
30566,89.97,2012,1,5
33951,81,2012,1,5
26867,85.61,2012,1,5
44118,68,2012,1,2
48164,147,2012,1,7
41440,132,2012,1,4
41302,138.88,2012,1,4
35870,92,2012,1,12
30505,78.35,2012,1,5
72642,53,2012,1,7
62687,67,2012,1,7
40030,67.95,2012,1,4
42308,91,2012,1,4
50000,122,2012,1,4
30509,118,2012,1,13
37079,89,2012,1,5
72011,131.23,2012,1,2
35486,73.27,2012,1,11
32638,93.45,2012,1,2
59126,64.27,2012,1,8
31605,81,2012,1,5
45570,79,2012,1,7
60732,84.8,2012,1,7
49100,91.04,2012,1,4
68293,41,2012,1,4
42331,89.77,2012,1,4
39980,58.78,2012,1,2
67500,108,2012,1,8
67045,100.68,2012,1,7
35250,80,2012,1,13
37412,85,2012,1,6
31405,89,2012,1,5
38625,80,2012,1,5
47416,89,2012,1,7
83602,124.4,2012,1,7
37079,89,2012,1,5
65000,47,2012,1,4
33770,89.43,2012,1,5
37529,89,2012,1,12
65475,96.22,2012,1,8
54911,40.12,2012,1,11
32560,118,2012,1,5
63935,61,2012,1,7
58118,80.87,2012,1,11
109403,134,2012,1,7
53643,40.08,2012,1,11
33841,78.9,2012,1,8
41892,148,2012,1,11
26853,68,2012,1,8
40229,135.9,2012,1,4
73276,116,2012,1,7
48095,117.27,2012,1,4
53092,90.41,2012,1,9
55556,91.26,2012,1,4
61628,86,2012,1,7
47387,88,2012,1,7
38272,243,2012,1,4
33842,83.92,2012,1,5
33147,89,2012,1,5
53143,62.85,2012,1,7
36250,80,2012,1,7
33596,89,2012,1,5
67927,82,2012,1,8
33373,86,2012,1,5
45652,122.23,2012,1,4
70000,111,2012,1,11
47059,238,2012,1,4
23334,48,2012,1,6
30667,75,2012,1,5
63390,59,2012,1,4
46525,139.28,2012,1,4
34768,81.11,2012,1,5
63917,130.17,2012,1,7
45663,89.57,2012,1,7
30841,82.36,2012,1,5
43663,92.07,2012,1,4
37935,92,2012,1,7
32023,89,2012,1,5
42122,66,2012,1,8
31349,89,2012,1,5
41510,53,2012,1,7
34111,87.95,2012,1,5
48619,181,2012,1,6
60402,56.29,2012,1,7
48702,77,2012,1,7
29546,88,2012,1,5
41008,89.74,2012,1,6
51579,133,2012,1,4
57273,132,2012,1,4
74529,53,2012,1,7
37725,80.85,2012,1,6
50000,93,2012,1,4
42012,66.41,2012,1,10
43914,69,2012,1,7
44060,138.45,2012,1,4
46237,93,2012,1,6
56098,41,2012,1,4
63737,91,2012,1,9
34977,88.63,2012,1,5
60408,57.94,2012,1,4
39427,139.5,2012,1,12
73024,119.14,2012,1,7
55834,60,2012,1,7
33334,138,2012,1,13
25281,89,2012,1,4
33135,38.57,2012,1,8
25889,90,2012,0,4
42219,59.69,2012,1,6
41058,88.9,2012,1,6
94292,58.33,2012,1,10
54836,40.12,2012,1,11
36256,93.09,2012,1,11
42149,60.5,2012,1,6
32299,79.26,2012,1,5
85240,166.59,2012,1,7
46478,88,2012,1,7
74568,85.56,2012,1,7
35087,54.58,2012,1,11
40255,118,2012,1,13
33975,78,2012,1,5
29407,118,2012,1,13
33140,86,2012,1,13
45846,139.38,2012,1,4
43821,89,2012,1,7
27273,88,2012,1,5
63044,46,2012,1,4
62648,85,2012,1,7
40188,89.58,2012,1,5
79851,67,2012,1,7
31932,88,2012,1,8
55068,134.38,2012,1,9
83025,89.13,2012,1,1
57143,63,2012,1,7
59783,92,2012,1,7
139390,86.09,2012,1,7
61766,92.77,2012,1,8
70095,53,2012,1,7
34783,138,2012,1,13
62239,67,2012,1,7
33883,85,2012,1,13
49939,89.21,2012,1,4
33256,86,2012,1,13
34657,131,2012,1,13
60870,46,2012,1,4
34319,88,2012,1,11
37223,72,2012,1,7
57699,62.74,2012,1,7
65446,84.65,2012,1,7
43471,85,2012,1,6
60484,62,2012,1,10
36004,88.88,2012,1,5
106346,112.84,2012,1,7
22132,85.85,2012,1,6
52343,40.12,2012,1,11
30838,89.5,2012,1,5
92462,114.21,2012,1,7
66250,80,2012,1,8
99738,144.88,2012,1,7
39326,89,2012,1,11
61939,85.86,2012,1,6
57044,45.93,2012,1,4
70213,47,2012,1,4
28153,85.25,2012,1,5
57322,130.84,2012,1,2
54475,25.7,2012,1,2
37649,96.95,2012,1,5
41236,85,2012,1,6
36050,81,2012,1,5
37553,81.22,2012,1,5
37879,89.76,2012,0,6
122728,110,2012,1,7
48255,132.63,2012,1,4
96865,135.24,2012,1,7
53782,238,2012,1,4
75190,101.61,2012,1,7
66770,84.17,2012,1,7
39562,88.47,2012,1,12
41739,92.24,2012,1,7
34769,60.4,2012,1,6
67156,58,2012,1,4
58056,36,2012,1,11
33432,85.25,2012,1,5
34568,81,2012,1,5
85075,67,2012,1,7
40571,111.41,2012,1,6
60797,92.11,2012,1,4
45318,59.8,2012,1,6
76405,89,2012,1,7
88236,68,2012,1,7
73405,94,2012,1,7
41177,85,2012,1,6
57665,89.31,2012,1,10
51095,137,2012,1,4
34832,89,2012,1,5
33484,89,2012,1,5
41072,84,2012,1,6
36745,64.5,2012,1,6
58109,37,2012,1,11
85075,67,2012,1,7
61400,86.32,2012,1,7
44319,88,2012,1,4
39202,83.67,2012,1,6
96540,164.7,2012,1,7
68449,92.77,2012,1,8
67442,86,2012,1,6
68500,68.03,2012,1,1
33306,118,2012,1,13
79210,66.28,2012,1,7
41985,91.7,2012,1,6
44311,91.4,2012,1,6
36429,70,2012,1,5
35506,80.27,2012,1,8
55408,63.71,2012,1,7
31439,37.18,2012,1,6
40710,110.54,2012,1,13
73933,89,2012,1,8
57885,88.97,2012,1,10
37766,94,2012,1,2
59514,60.49,2012,1,4
30104,115.6,2012,1,5
42858,84,2012,1,6
89025,41,2012,1,4
35792,87.87,2012,1,5
50562,89,2012,1,4
41672,91.67,2012,1,6
64241,86.55,2012,1,7
46573,80.52,2012,1,7
27907,215,2012,1,7
67780,89.26,2012,1,9
41349,89,2012,1,5
66145,196.54,2012,1,2
60564,99.4,2012,1,6
72561,55.54,2012,1,10
40082,123,2012,1,2
41694,93.54,2012,0,6
40395,76,2012,1,6
33899,118,2012,1,13
64148,84.96,2012,1,6
38203,89,2012,1,5
42208,92.4,2012,1,6
34286,119,2012,1,5
34720,89,2012,1,5
46182,55,2012,1,7
39439,89,2012,1,2
33334,120,2012,1,5
41427,84.97,2012,1,6
41059,85,2012,1,6
82521,246,2012,1,7
44032,81.76,2012,1,6
35087,44.12,2012,1,6
52972,88.35,2012,1,7
56042,96,2012,1,8
40210,90.5,2012,1,6
37745,89.55,2012,0,6
37879,132,2012,1,13
84055,111,2012,1,8
56205,99.12,2012,1,6
37728,110,2012,1,13
43482,71.87,2012,1,6
44566,92,2012,1,6
83034,89,2012,1,7
40859,88.11,2012,1,6
67553,45.89,2012,1,4
39013,81,2012,1,5
36173,81,2012,1,5
78106,95,2012,1,8
57259,62,2012,1,6
38025,88.1,2012,1,5
95139,72,2012,1,7
44393,55.19,2012,1,11
52103,95.58,2012,1,4
37856,89.55,2012,0,6
49837,122,2012,1,4
45206,73,2012,1,11
28937,47,2012,1,6
30213,47,2012,1,6
58285,132.11,2012,1,4
43270,104,2012,1,13
75676,111,2012,1,7
52932,138.86,2012,1,4
60203,125.41,2012,1,6
35200,100,2012,1,11
59603,123.82,2012,1,4
45353,88.75,2012,1,5
58589,40.11,2012,1,11
55556,72,2012,1,4
75075,91.11,2012,1,7
64262,64.58,2012,1,4
44836,91,2012,1,6
47661,87.18,2012,1,6
55370,62.85,2012,1,7
36369,82.49,2012,1,5
29819,39.74,2012,1,8
39722,89.17,2012,1,5
63712,97,2012,1,7
41697,84.66,2012,1,6
86183,174.05,2012,1,7
49923,135.21,2012,1,4
50410,85.5,2012,1,6
41825,89.25,2012,1,5
70414,82.37,2012,1,11
47769,73.27,2012,1,11
63334,60,2012,1,4
57932,92.35,2012,1,6
38456,61.63,2012,0,6
46316,95,2012,1,5
52587,58,2012,1,6
51725,87,2012,1,4
39851,82.81,2012,1,6
39711,138,2012,1,13
54241,88.31,2012,1,7
113403,134,2012,1,7
40861,93,2012,1,11
73334,30,2012,1,11
37334,75,2012,1,5
64426,49.98,2012,1,4
106240,162.84,2012,1,7
89254,67,2012,1,7
93694,111,2012,1,8
24431,83.91,2012,0,5
50527,95,2012,1,13
42174,115,2012,1,13
106991,294.42,2012,1,7
82023,89,2012,1,8
86568,67,2012,1,7
50578,82.25,2012,1,12
46172,128,2012,1,12
72021,34.99,2012,1,11
50682,88.79,2012,1,12
60213,47,2012,1,4
74541,130.13,2012,1,7
47369,95,2012,1,2
69334,30,2012,1,11
59283,70.51,2012,1,4
84563,46.12,2012,1,11
37543,118,2012,1,13
34612,88.41,2012,1,5
39894,94,2012,1,2
43090,123,2012,1,6
32675,130.99,2012,1,5
36654,75.3,2012,1,5
72556,86.83,2012,1,7
75385,65,2012,1,4
75724,97.46,2012,1,7
62578,72.23,2012,1,7
52303,89.48,2012,1,4
57090,90.21,2012,1,6
51592,80.44,2012,1,7
94684,79,2012,1,11
41686,89,2012,1,5
75666,131.5,2012,1,7
38000,135,2012,1,13
83017,28.91,2012,1,11
63311,40.12,2012,1,11
52928,88.8,2012,1,4
47708,86.15,2012,1,4
86866,52.38,2012,1,7
87170,53,2012,1,7
50725,89.7,2012,1,7
75523,67,2012,1,7
39974,89.56,2012,1,5
61482,135,2012,1,9
73171,82,2012,1,11
36236,85,2012,1,5
71945,72,2012,1,10
54515,238.47,2012,1,4
37079,89,2012,1,5
70389,41.2,2012,1,4
37340,136.05,2012,1,13
65291,85.77,2012,1,7
36340,89.71,2012,1,5
57873,90.89,2012,1,6
40450,89,2012,1,5
55879,91.95,2012,1,4
37994,78.83,2012,1,5
50675,89,2012,1,6
61039,77,2012,1,7
73062,51.71,2012,1,7
46105,58.78,2012,1,2
82589,69.38,2012,1,8
39717,141,2012,1,11
29724,47.1,2012,1,6
39551,89,2012,1,5
54256,55.11,2012,1,7
34726,82.36,2012,1,5
81171,47,2012,1,4
44111,84.56,2012,1,6
50807,89.95,2012,1,4
28337,64.58,2012,1,6
58330,91.6,2012,1,6
79737,85.03,2012,1,7
42472,89,2012,1,5
38025,81,2012,1,5
42645,121,2012,1,13
63675,99.49,2012,1,6
59463,93,2012,1,6
70024,104.25,2012,1,7
43051,59,2012,1,6
72827,46,2012,1,4
46053,76,2012,1,6
44746,94.87,2012,1,5
59572,40.12,2012,1,11
38784,81.22,2012,1,5
62201,209,2012,1,7
61421,138.39,2012,1,7
68849,88.6,2012,1,7
55231,95.6,2012,1,4
43215,56,2012,1,11
40000,88,2012,1,5
38140,86,2012,1,13
69797,64.33,2012,1,7
48090,89,2012,1,12
68883,99.88,2012,1,7
63186,40.12,2012,1,11
54583,139.24,2012,1,4
64887,64.42,2012,1,4
59696,40.12,2012,1,11
76242,89.19,2012,0,8
48388,124,2012,1,12
48215,87.11,2012,1,12
81633,64.68,2012,1,7
61733,87.96,2012,1,4
67614,88,2012,1,8
50498,65.35,2012,1,2
51120,132.63,2012,1,4
50333,123.18,2012,1,6
89063,85.67,2012,1,8
90181,166,2012,1,7
76755,109.7,2012,1,7
43058,89.88,2012,1,5
82955,44,2012,1,8
31250,40,2012,1,6
59888,89,2012,1,9
54505,66.6,2012,1,4
72462,80.87,2012,1,11
40225,89,2012,1,5
34928,89.9,2012,1,5
73830,47,2012,1,4
43057,54.58,2012,1,11
116102,47.2,2012,1,7
69673,88.27,2012,1,8
85026,39.4,2012,1,7
126951,161.48,2012,1,7
72363,35.93,2012,1,11
103889,52.46,2012,1,7
64863,71.69,2012,1,10
121585,146.4,2012,1,7
92934,52.08,2012,1,7
91045,67,2012,1,7
35003,90.28,2012,1,8
58334,93,2012,1,6
78905,97.46,2012,1,7
106810,84.73,2012,1,10
84159,52.52,2012,1,7
66498,98.32,2012,1,6
86038,53,2012,1,7
54546,59.95,2012,1,7
56534,93.75,2012,1,4
40931,86,2012,1,13
66667,60,2012,1,4
82238,89.74,2012,1,8
38457,72.29,2012,1,7
66047,86,2012,1,6
54843,123.08,2012,1,4
40581,75.16,2012,1,6
54940,53.24,2012,1,7
80784,85.29,2012,1,7
40124,81,2012,1,5
53955,87.11,2012,1,12
51701,88.78,2012,1,12
52628,137,2012,1,4
31570,56.7,2012,0,3
75504,119.2,2012,1,7
46449,119.81,2012,1,7
42809,89,2012,1,5
